Y-WET WEATHER;HAIL,RAIN,SLEET,SNOW
G-NBA TEAMS;BUCKS,HEAT,JAZZ,NETS
B-KEYBOARD KEYS;OPTION,RETURN,SHIFT,TAB
P-PALINDROMES;KAYAK,LEVEL,MOM,RACE CAR
Y-FOOTWEAR;BOOT,LOAFER,PUMP,SNEAKER
G-UNITS OF LENGTH;FOOR,PACE,MILE,YARD
B-MAGAZINES;ESSENCE,PEOPLE,TIME,US
P-LETTER HOMOPHONES;ARE,QUEUE,SEA,WHY
Y-FACIAL FEATURES;CHEEK,EYE,MOUTH,NOSE
G-SYNONYMS FOR EAT;CHOW,GOBBLE,SCARF,WOLF
B-DOG BREEDS, INFORMALLY;LAB,PEKE,PIT,POM
P-MEMBERS OF A TRIO;AMIGO,KING,STOOGE,TENOR
Y-SNEAKER BRANDS;ADIDAS,NIKE,PUMA,REEBOK
G-MUSICALS BEGINNING WITH C;CARABET,CAROUSEL,CATS,CHIAGO
B-CLEANING VERBS;DUST,MOP,SWEEP,VACUUM
P-___ MAN SUPERHEROES;BAT,IRON,SPIDER,SUPER
Y-MOVE TO ACTION;DRIVE,PROMPT,PROPEL,PUSH
G-UNO CARDS;DRAW,REVERSE,SKIP,WILD
B-HAIL SIZE COMPARISONS;BASEBALL,GRAPEFRUIT,MARBLE,PEA
P-PLACES WITH BENCHES;COURTROOM,DUGOUT,GYM,PARK
Y-AWESOME;COOL,NICE,SICK,SWEET
G-VARIETY;KIND,SORT,STYLE,TYPE
B-GIST;DRIFT,IDEA,MESSAGE,POINT
P-FRIED APPETIZER INFORMALLY;RING,STICK,TENDER,WING
Y-TAKE HOME INCOME;CLEAR,EARN,MAKE,NET
G-WIZARD COSTUME PARTS;BEARD,HAT,ROBE,STAFF
B-SHIP PARTS;BRIDGE,DECK,HATCH,KEEL
P-C WORDS;CLEF,SECTION,SPAN,SUITE
Y-SETTLE DOWN;EASY,ENOUGH,QUIET,RELAX
G-MINOR AILMENTS;BUG,CHILL,COLD,COUGH
B-WHAT WHALES DO;BREACH,DIVE,SING,SPOUT
P-CITY NICKNAMES;MAGIC,MOTOR,SIN,WINDY
Y-CRAVING;DESIRE,ITCH,THIRST,URGE
G-JOBS WITH TRAVEL;CRUISE DIRECTOR,PILOT,ROADIE,SALESMAN
B-NAME HOMOPHONES;EARNEST,KNEEL,RUSTLE,TAILOR
P-ASTRONOMICAL TERMS PLUS LETTER;COMETH,NOVAK,START,SUNG
Y-UNITS OF LENGTH;FOOT,INCH,MILE,YARD
G-TYPES OF PAINT;ACRYLIC,OIL,TEMPERA,WATERCOLOR
B-DEEP FRIED FOOD;FALAFEL,KATSU,SAMOSA,SCHNITZEL
P-STARTS OF US COINS;DIM,NICK,PEN,QUART
Y-RELATIVES;AUNT,COUSIN,MOTHER,NEPHEW
G-SYNONYMS FOR OFFBEAT;DAFFY,KOOKY,QUIRKY,WACKY
B-DISNEY DUCKS;DAISY,DEWEY,DONALD,SCROOGE
P-CLOCK TYPES;ALARM,BIOLOGICAL,CUCKOO,GRANDFATHER
Y-FABRICS;CORDUROY,DENIM,LINEN,TWEED
G-APPARITIONS;GHOST,PHANTOM,SPECTER,SPIRIT
B-SYNONYMS FOR BOTHER;NEEDLE,POKE,RIB,TEASE
P-DISNEY CHARACTERS;BEAST,GENIE,SCAR,STITCH
Y-BIOMES;DESERT,FOREST,GRASSLAND,TUNDRA
G-LIZARDS;CHAMELEON,GECKO,IGUANA,MONITOR
B-YOGA POSES;COBRA,LOTUS,TREE,WARRIOR
P-DANCES WHEN DOUBLED;CAN,CHA,GO,NAE
Y-MOVIE TITLE CITIES;CHICAGO,MUNICH,PHILADELPHIA,RIO
G-FASHION MAGAZINES;ALLURE,ELLE,GLAMOUR,W
B-STORMS;BLIZZARD,CYCLONE,SQUALL,TORNADO
P-COCKTAILS;COSMOPOLITAN,HURRICANE,MANHATTAN,SCREWDRIVER
Y-MODES OF TRANSPORT;BOAT,CAR,PLANE,TRAIN
G-NBA TEAMS;KING,MAGIC,SUN,THUNDER
B-FAST FOOD CHAINS;CHECKERS,OUTBACK,SONIC,SUBWAY
P-BANDS MINUS COLORS;DAY,FLOYD,SABBATH,STRIPES
Y-STATES OF MATTER;GAS,LIQUID,PLASMA,SOLID
G-EDIT MENU;COPY,CUT,PASTE,UNDO
B-DEFEAT BADLY;CRUSH,ROUT,SHELLAC,TRASH
P-ANAGRAMS;LEAST,SLATE,STALE,TESLA
Y-SYNONYMS FOR ANGRY;FURIOUS,INCENSED,IRATE,LIVID
G-THINGS THAT ARE YELLOW;BANANA,CANARY,SCHOOL BUS,SUNFLOWER
B-MARINE BIRDS;BOOBY,GULL,PELICAN,PUFFIN
P-___ BOYS;BEACH,BEASTIE,HARDY,LOST
Y-SCUBA GEAR;FINS,MASK,SNORKEL,TANK
G-PUNCTUATION MARKS;COLON,COMMA,HYPHEN,PERIOD
B-RUN QUICKLY;BOLT,DASH,RACE,SPRINT
P-___ CAT;DOJA,FAT,HOUSE,JUNGLE
Y-BOTTLED WATER;DASANI,EVIAN,FIJI,VOSS
G-SLANG FOR COFFEE;BREW,JAVA,JOE,MUD
B-ISLAND COUNTRIES;CUBA,JAPAN,MALTA,PALAU
P-CEREAL MASCOTS;LUCKY,POP,SAM,TONY
Y-WOODWINDS;BASSOON,CLARINET,FLUTE,OBOE
G-COVERINGS;CAP,COVER,LID,TOP
B-SUNGLASSES;AVIATOR,CAT EYE,WAYFARER,WRAPAROUND
P-SEALS;HARBOR,HARP,HOODED,MONK
Y-TIMEKEEPING DEVICES;CLOCK,HOURGLASS,SUNDIAL,WATCH
G-HAIRSTYLES;BOB,CROP,PIXIE,SHAG
B-UNITS OF MEASURE;HERTZ,MOLE,NEWTON,SECOND
P-DR ___;EVIL,J,NO,PEPPER
Y-TREES;ASH,CEDAR,MAPLE,PINE
G-LANDFORMS;HILL,MOUNTAIN,PLATEAU,VALLEY
B-BAGEL FLAVORS;EVERYTHING,ONION,PLAIN,POPPY
P-STREETS ON SCREEN;ELM,FEAR,JUMP,SESAME
Y-MARINE MAMMALS;DOLPHIN,MANATEE,OTTER,SEAL
